tender_no,tender_description,agency,award_date,tender_detail_status,supplier_name,awarded_amt,supplier_name_raw,fiscal_year,procurement_type
ACR000ETT21000001,"DESIGN, DEVELOPMENT, CUSTOMIZATION, DELIVERY, INSTALLATION, TESTING AND COMMISSIONING A NEW FULLY OPERATIONAL UNIFIED DATA ANALYTICS PLATFORM (UDAP) SYSTEM WITH AN OPTION FOR MAINTENANCE AND ENHANCEMENT SERVICES FOR ACCOUNTING AND CORPORATE REGULARTORY AUTHORITY",Accounting And Corporate Regulatory Authority,2021-09-06,Awarded to Suppliers,ALPHA ZETTA PTE LTD,2321600.0,ALPHA ZETTA PTE. LTD.,FY2021,ETT
ACR000ETT21000003,"SUPPLY, DELIVERY, INSTALLATION, TESTING, COMMISSIONING OF A FULLY OPERATIONAL BUSINESS REGISTRY & REGULATORY SYSTEM WITH AN OPTION FOR MAINTENANCE",Accounting And Corporate Regulatory Authority,2022-04-14,Awarded to Suppliers,ACCENTURE SG SERVICES PTE LTD,108555723.0,ACCENTURE SG SERVICES PTE. LTD.,FY2022,ETT
ACR000ETT21000004,INVITATION TO TENDER FOR THE APPLICATION SOFTWARE MAINTENANCE AND SUPPORT FOR BIZFINX SYSTEM HOSTED IN THE GOVERNMENT COMMERCIAL CLOUD FOR ACCOUNTING AND CORPORATE REGULARTORY AUTHORITY,Accounting And Corporate Regulatory Authority,2022-04-13,Awarded to Suppliers,CRIMSONLOGIC PTE LTD,4503450.0,CRIMSONLOGIC PTE LTD,FY2022,ETT
ACR000ETT22000001,FOR PROVISION OF THE APPLICATION SOFTWARE MAINTENANCE AND SUPPORT SERVICES FOR SERVICE REQUEST MANAGEMENT SYSTEM AND REGULATORY INVESTIGATION E-SYSTEM,Accounting And Corporate Regulatory Authority,2022-06-28,Awarded to Suppliers,FPT ASIA PACIFIC PTE LTD,539600.0,FPT ASIA PACIFIC PTE. LTD.,FY2022,ETT
ACR000ETT22000003,INVITATION TO TENDER FOR THE PROVISION OF THE APPLICATION SOFTWARE MAINTENANCE AND SUPPORT SERVICES FOR EREGISTRY SYSTEM,Accounting And Corporate Regulatory Authority,2023-03-19,Awarded to Suppliers,CRIMSONLOGIC PTE LTD,987850.0,CRIMSONLOGIC PTE LTD,FY2022,ETT
ACR000ETT23000001,INVITATION TO TENDER FOR THE PROVISION OF SERVICES FOR COMPLIANCE REVIEW PROGRAMME,Accounting And Corporate Regulatory Authority,2023-06-21,Awarded by Items,DELOITTE SINGAPORE ASSURANCE PTE LTD,850000.0,DELOITTE SINGAPORE ASSURANCE PTE. LTD.,FY2023,ETT
ACR000ETT23000001,INVITATION TO TENDER FOR THE PROVISION OF SERVICES FOR COMPLIANCE REVIEW PROGRAMME,Accounting And Corporate Regulatory Authority,2023-06-21,Awarded by Items,KPMG SERVICES PTE LTD,562500.0,KPMG SERVICES PTE. LTD.,FY2023,ETT
ACR000ETT23000002,"SUPPLY, DELIVERY, SUPPORT OF DATABASE ACTIVITY MONITORING (DAM) SOFTWARE WITH AN OPTION FOR MAINTENANCE OF SOFTWARE",Accounting And Corporate Regulatory Authority,2024-01-18,Awarded to Suppliers,NXGEN COMMUNICATIONS PTE LTD,310676.63,NXGEN COMMUNICATIONS PTE LTD,FY2023,ETT
ACR000ETT24000001,Development of the Bodies of Knowledge (BOKs) for Sustainability Reporting and Assurance,Accounting And Corporate Regulatory Authority,2024-09-13,Awarded to Suppliers,PRICEWATERHOUSECOOPERS RISK SERVICES PTE LTD,71500.0,PRICEWATERHOUSECOOPERS RISK SERVICES PTE. LTD.,FY2024,ETT
ACR000ETT25000001,INVITATION TO TENDER FOR THE DEVELOPMENT OF THE CURRICULUM AND EXAM QUESTION BANK FOR MODULES 1 TO 4 OF THE CHARTERED VALUER AND APPRAISER PROGRAMME,Accounting And Corporate Regulatory Authority,2025-08-13,Awarded to Suppliers,SINGAPORE MANAGEMENT UNIVERSITY,520000.0,SINGAPORE MANAGEMENT UNIVERSITY,FY2025,ETT
