agency,n,mad_1,mad_1_if_benford,band_1,p_1,sim_p_1,mad_2,mad_2_if_benford,band_2,p_2,sim_p_2
Ministry of Foreign Affairs,483,0.04580655365108154,0.010434315678236555,nonconformity,2.00124451005471e-25,9.999000099990002e-05,0.006911516143047192,0.0036123912750387014,nonconformity,9.805971934042399e-99,9.999000099990002e-05
Ministry of Finance - Vital,654,0.034985626711974444,0.008945758357061186,nonconformity,5.339024797785941e-13,9.999000099990002e-05,0.005660787112092289,0.003099142571628094,nonconformity,1.2946092004022297e-14,9.999000099990002e-05
Jurong Town Corporation,331,0.027953393049280184,0.01257589853144945,nonconformity,0.0001426543182602286,0.0004999500049995,0.004942135581924488,0.004369220406798617,nonconformity,0.011547010113085922,0.06409359064093591
Singapore Tourism Board,312,0.027163937697624867,0.012961321725137302,nonconformity,0.0032586793689344798,0.0004999500049995,0.006710029254189314,0.004504487682511981,nonconformity,7.170158901040343e-34,9.999000099990002e-05
Ministry of Digital Development and Information,305,0.021540285458831413,0.013103620332115233,nonconformity,0.09750340231133299,0.023497650234976502,0.005847622789080551,0.00455815201486341,nonconformity,6.667874596978529e-05,0.0004999500049995
Institute of Technical Education,352,0.01790753465842495,0.012289446764409444,nonconformity,0.047921018355928456,0.07119288071192881,0.004250736699622624,0.004232563120170527,nonconformity,0.5842856117410977,0.47875212478752127
Ministry of Education,588,0.015468224652012431,0.009452484845367306,nonconformity,0.057606242411856405,0.024697530246975304,0.0033706646446144553,0.003274158057165862,nonconformity,0.06453757835598364,0.3548645135486451
"Agency for Science, Technology and Research",894,0.015194428714169853,0.0076531879762282975,nonconformity,0.002601222221323324,0.0013998600139986002,0.0032268275474332856,0.002649461038614023,nonconformity,3.60357514629795e-06,0.006899310068993101
Ministry of Health-Ministry Headquarter,317,0.014942222450152646,0.012917286102686321,marginal,0.24217108186556624,0.28687131286871315,0.004557096594029359,0.004465755543640016,nonconformity,0.5610804163668319,0.40205979402059794
Monetary Authority of Singapore,310,0.013344875179033143,0.012983525901422956,marginal,0.2592311122476416,0.46325367463253675,0.004700455461581938,0.0045170316840614615,nonconformity,0.002233593838279007,0.31126887311268875
Ministry of Home Affairs - Ministry Headquarter 1,633,0.013026576578414741,0.009091109527610957,marginal,0.0811705702072671,0.08609139086091391,0.0034905897563817785,0.0031517062122031364,nonconformity,0.27981414541279337,0.10058994100589941
Public Utilities Board,708,0.010731186168178614,0.008639529267751626,acceptable,0.46232428556365024,0.2081791820817918,0.0032664334211747557,0.0029822800669430604,nonconformity,0.3544387194449672,0.1324867513248675
Health Sciences Authority,386,0.01056296704823592,0.011702558160260798,acceptable,0.8310098023838723,0.6433356664333567,0.004368680951093495,0.004033830491945643,nonconformity,0.007425374274789482,0.16178382161783822
National Parks Board,394,0.009264632893350907,0.011511025113356659,acceptable,0.7311019463524157,0.7657234276572342,0.004155488988522703,0.003991707861768631,nonconformity,0.2901273539060837,0.3117688231176882
Housing and Development Board,1173,0.008858040643496327,0.006699484863018046,acceptable,0.23985652292657192,0.14778522147785222,0.002725157553925445,0.002314755600196435,nonconformity,0.002479592089659828,0.0212978702129787
Land Transport Authority,569,0.008487424073137696,0.00961679021170554,acceptable,0.5874211025191739,0.656034396560344,0.0036348779574681927,0.003323284897162648,nonconformity,0.08662086368751704,0.1357864213578642
National Environment Agency,439,0.00826486702544192,0.010981511941693091,acceptable,0.7444824214583938,0.8266173382661733,0.003773482135088774,0.0037802776699726467,nonconformity,0.43439660226327603,0.5096490350964904
People's Association,762,0.006636412858961812,0.008351391425821458,acceptable,0.5635192129142379,0.7737226277372263,0.0032228576736042865,0.0028746178059465286,nonconformity,0.1719072820415651,0.07599240075992401
