tender_no,agency,category,award_date,fiscal_year,procurement_type,is_ett,n_rows,n_suppliers,awarded_amt,near_threshold,round_amount,high_share_incumbent,dominant_supplier_category,score,reasons
EMA000ETT20300022,Energy Market Authority of Singapore,consultancy,2021-04-01,FY2021,ETT,True,1,1,250000.0,False,True,False,False,1.0,round_amount
SFA000ETT20300053,Singapore Food Agency,cleaning/facilities,2021-04-01,FY2021,ETT,True,1,1,162612.0,False,False,False,False,0.0,
NEA000ETT20300210,National Environment Agency,construction,2021-04-01,FY2021,ETT,True,1,1,599051.0,False,False,False,False,0.0,
URA000ETT20300030,Urban Redevelopment Authority,other,2021-04-01,FY2021,ETT,True,1,1,118100.0,False,False,False,False,0.0,
NPB000ETT20300076,National Parks Board,supplies,2021-04-01,FY2021,ETT,True,4,4,158525.0,False,False,False,False,0.0,
HDB000ETT20300255,Housing and Development Board,construction,2021-04-01,FY2021,ETT,True,1,1,12114.0,False,False,False,False,0.0,
HDB000ETT20300254,Housing and Development Board,construction,2021-04-01,FY2021,ETT,True,1,1,11255.2,False,False,False,False,0.0,
TPO000ETT21000005,Temasek Polytechnic,other,2021-04-01,FY2021,ETT,True,2,2,90250.0,False,False,False,False,0.0,
NPO000ETT20300033,Ngee Ann Polytechnic,IT,2021-04-01,FY2021,ETT,True,1,1,418588.0,False,False,False,False,0.0,
NST000ETT20300095,"Agency for Science, Technology and Research",training,2021-04-01,FY2021,ETT,True,1,1,276600.0,False,False,False,False,0.0,
NST000ETT20300119,"Agency for Science, Technology and Research",IT,2021-04-01,FY2021,ETT,True,1,1,999165.2,False,False,False,False,0.0,
PAS000ETT21000006,People's Association,other,2021-04-01,FY2021,ETT,True,5,5,6104285.75,False,False,False,False,0.0,
MAS000ETT20300061,Monetary Authority of Singapore,IT,2021-04-01,FY2021,ETT,True,1,1,168235.0,False,False,False,False,0.0,
CDVHQ0ETT21000004,Ministry of Social and Family Development - Ministry Headquarter,other,2021-04-02,FY2021,ETT,True,1,1,5024980.0,False,False,False,False,0.0,
LTA000ETT20300108,Land Transport Authority,other,2021-04-05,FY2021,ETT,True,1,1,11997700.0,False,False,False,False,0.0,
NST000ETT20300082,"Agency for Science, Technology and Research",supplies,2021-04-05,FY2021,ETT,True,2,2,1460338.73,False,False,False,False,0.0,
LTA000ETT19300148,Land Transport Authority,construction,2021-04-05,FY2021,ETT,True,1,1,262660000.0,False,True,False,False,1.0,round_amount
MHA00003000006734,Ministry of Home Affairs - Ministry Headquarter 1,construction,2021-04-05,FY2021,(no code),False,1,1,687000.0,False,False,False,False,0.0,
LTA000ETT20300006,Land Transport Authority,construction,2021-04-05,FY2021,ETT,True,1,1,263000000.0,False,True,False,False,1.0,round_amount
NCS000ETT20300015,National Council of Social Service,other,2021-04-05,FY2021,ETT,True,1,1,3589820.0,False,False,False,False,0.0,
HDB000ETT21000002,Housing and Development Board,supplies,2021-04-05,FY2021,ETT,True,1,1,17.17,False,False,False,False,0.0,
LTA000ETT20300096,Land Transport Authority,consultancy,2021-04-06,FY2021,ETT,True,1,1,782950.0,False,False,False,False,0.0,
NST000ETT20300112,"Agency for Science, Technology and Research",supplies,2021-04-06,FY2021,ETT,True,1,1,150022.8,False,False,False,False,0.0,
ITE000ETT20300049,Institute of Technical Education,construction,2021-04-06,FY2021,ETT,True,2,2,1670156.0,False,False,False,False,0.0,
PUB000ETT20300273,Public Utilities Board,consultancy,2021-04-06,FY2021,ETT,True,1,1,4988800.0,False,False,False,False,0.0,
PUB000ETT20300193,Public Utilities Board,other,2021-04-06,FY2021,ETT,True,1,1,125000000.0,False,True,False,False,1.0,round_amount
URA000ETT20300019,Urban Redevelopment Authority,construction,2021-04-06,FY2021,ETT,True,1,1,13700000.0,False,True,False,False,1.0,round_amount
PMONRFETT21000001,Prime Minister's Office - National Research Foundation,cleaning/facilities,2021-04-06,FY2021,ETT,True,1,1,498919.0,False,False,False,False,0.0,
EAB000ETT21000002,Singapore Examinations and Assessment Board,supplies,2021-04-06,FY2021,ETT,True,1,1,144885.46,False,False,False,False,0.0,
NPB000ETT21000004,National Parks Board,cleaning/facilities,2021-04-06,FY2021,ETT,True,1,1,4815891.0,False,False,False,False,0.0,
HDB000ETT21000003,Housing and Development Board,consultancy,2021-04-07,FY2021,ETT,True,1,1,145000.0,False,False,False,False,0.0,
MOMHQ0ETT20300007,Ministry of Manpower-Ministry Headquarter,other,2021-04-07,FY2021,ETT,True,1,1,499000.0,False,False,False,False,0.0,
MOE000ETT20300060,Ministry of Education,training,2021-04-07,FY2021,ETT,True,1,1,1974000.0,False,False,False,False,0.0,
HDB000ETT20300154,Housing and Development Board,cleaning/facilities,2021-04-07,FY2021,ETT,True,1,1,10162193.2,False,False,False,False,0.0,
MPA000ETT21000005,Maritime and Port Authority of Singapore,other,2021-04-07,FY2021,ETT,True,1,1,369000.0,False,False,False,False,0.0,
HDB000ETT20300223,Housing and Development Board,cleaning/facilities,2021-04-07,FY2021,ETT,True,1,1,421950.0,False,False,False,False,0.0,
EAB000ETT20300009,Singapore Examinations and Assessment Board,IT,2021-04-07,FY2021,ETT,True,1,1,9844721.0,False,False,False,False,0.0,
HDB000ETT20300243,Housing and Development Board,other,2021-04-07,FY2021,ETT,True,1,1,101144.0,False,False,False,False,0.0,
LTA000ETT21000001,Land Transport Authority,construction,2021-04-07,FY2021,ETT,True,1,1,630485.0,False,False,False,False,0.0,
FOR000ETT20300060,Ministry of Foreign Affairs,other,2021-04-07,FY2021,ETT,True,1,1,2358282.79,False,False,False,False,0.0,
ISA000ETT21000002,ISEAS - Yusof Ishak Institute,other,2021-04-07,FY2021,ETT,True,1,1,120750.0,False,False,False,False,0.0,
HDB000ETT21000001,Housing and Development Board,supplies,2021-04-08,FY2021,ETT,True,1,1,75.21,False,False,False,False,0.0,
EMA000ETT21000005,Energy Market Authority of Singapore,consultancy,2021-04-08,FY2021,ETT,True,1,1,181000.0,False,False,False,False,0.0,
DEF000ETT20300044,Ministry of Defence,other,2021-04-08,FY2021,ETT,True,1,1,474955.0,False,False,False,False,0.0,
STB000ETT20300044,Singapore Tourism Board,other,2021-04-08,FY2021,ETT,True,1,1,399093.0,False,False,False,False,0.0,
STB000ETT21000002,Singapore Tourism Board,other,2021-04-08,FY2021,ETT,True,1,1,1330154.44,False,False,False,False,0.0,
JUDSUPETT20300011,Judiciary-Supreme Court,cleaning/facilities,2021-04-08,FY2021,ETT,True,1,1,168800.0,False,False,False,False,0.0,
STB000ETT21000004,Singapore Tourism Board,other,2021-04-08,FY2021,ETT,True,1,1,70050.0,False,False,False,False,0.0,
RPO000ETT20300055,Republic Polytechnic,cleaning/facilities,2021-04-08,FY2021,ETT,True,1,1,257400.0,False,False,False,False,0.0,
LTA000ETT20300022,Land Transport Authority,construction,2021-04-08,FY2021,ETT,True,1,1,40800000.0,False,True,False,False,1.0,round_amount
LTA000ETT20300023,Land Transport Authority,construction,2021-04-08,FY2021,ETT,True,1,1,46060011.0,False,False,False,False,0.0,
HLTHQ0ETT20300042,Ministry of Health-Ministry Headquarter,consultancy,2021-04-08,FY2021,ETT,True,1,1,1480000.0,False,True,False,False,1.0,round_amount
ITA000ETT20300020,Ministry of Digital Development and Information,training,2021-04-08,FY2021,ETT,True,1,1,430000.0,False,True,False,False,1.0,round_amount
NST000ETT20300122,"Agency for Science, Technology and Research",cleaning/facilities,2021-04-08,FY2021,ETT,True,13,13,93900.0,False,False,False,False,0.0,
PUB000ETT20300296,Public Utilities Board,other,2021-04-09,FY2021,ETT,True,1,1,8383000.0,False,False,False,False,0.0,
HSA000ETT20300057,Health Sciences Authority,supplies,2021-04-09,FY2021,ETT,True,1,1,18432.0,False,False,False,False,0.0,
